https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume KMD,Volume USDT,tradecount
1690588800000,2023-07-29,KMDUSDT,0.2394,0.2449,0.2366,0.243,530228.0,127435.7729,1712
1690502400000,2023-07-28,KMDUSDT,0.2388,0.2438,0.2368,0.2391,522523.0,125318.7867,1946
1690416000000,2023-07-27,KMDUSDT,0.2382,0.245,0.2358,0.2389,600821.0,144302.5186,1913
1690329600000,2023-07-26,KMDUSDT,0.2388,0.2394,0.2314,0.2374,574763.0,135291.8332,1840
1690243200000,2023-07-25,KMDUSDT,0.2329,0.246,0.2291,0.2384,1142836.0,271302.7903,4138
1690156800000,2023-07-24,KMDUSDT,0.2426,0.2431,0.23,0.2327,837020.0,197734.2722,2652
1690070400000,2023-07-23,KMDUSDT,0.2452,0.2476,0.2395,0.2425,1221314.0,297771.6769,3052
1689984000000,2023-07-22,KMDUSDT,0.2518,0.2524,0.2428,0.2452,986454.0,245567.2778,2536
1689897600000,2023-07-21,KMDUSDT,0.2564,0.2576,0.2491,0.2518,926760.0,233331.0667,2365
1689811200000,2023-07-20,KMDUSDT,0.2531,0.265,0.2527,0.256,1072902.0,275323.0113,3341
1689724800000,2023-07-19,KMDUSDT,0.2597,0.2627,0.252,0.2534,996813.0,256555.8854,3169
1689638400000,2023-07-18,KMDUSDT,0.2588,0.2748,0.2489,0.2596,3115535.0,808220.9924,10204
1689552000000,2023-07-17,KMDUSDT,0.2534,0.268,0.2519,0.2588,1586161.0,413366.53,6356
1689465600000,2023-07-16,KMDUSDT,0.2642,0.2645,0.2514,0.253,878752.0,225637.5736,2564
1689379200000,2023-07-15,KMDUSDT,0.2622,0.2716,0.2594,0.2642,917838.0,243556.4544,3499
1689292800000,2023-07-14,KMDUSDT,0.2727,0.274,0.2548,0.2621,1595538.0,425249.45,4733
1689206400000,2023-07-13,KMDUSDT,0.263,0.2731,0.2565,0.2724,1483505.0,394107.4842,4796
1689120000000,2023-07-12,KMDUSDT,0.2588,0.2668,0.2554,0.2631,1380388.0,359296.5778,4918
1689033600000,2023-07-11,KMDUSDT,0.2555,0.281,0.2533,0.2587,3359230.0,882572.9601,13630
1688947200000,2023-07-10,KMDUSDT,0.2563,0.2744,0.25,0.2556,3151169.0,823914.5482,11536
1688860800000,2023-07-09,KMDUSDT,0.2546,0.2622,0.2518,0.256,640581.0,163623.7432,2553
1688774400000,2023-07-08,KMDUSDT,0.2583,0.26,0.2506,0.2546,1320295.0,337023.6719,4020
1688688000000,2023-07-07,KMDUSDT,0.2585,0.2768,0.2552,0.2582,3149902.0,832408.3846,10312
1688601600000,2023-07-06,KMDUSDT,0.2519,0.2872,0.2486,0.2584,8750479.0,2370010.1253,25936
1688515200000,2023-07-05,KMDUSDT,0.257,0.2628,0.2466,0.2519,1516793.0,385589.3196,4698
1688428800000,2023-07-04,KMDUSDT,0.2682,0.2684,0.2532,0.2569,2829192.0,737872.9086,6884
1688342400000,2023-07-03,KMDUSDT,0.264,0.2859,0.2605,0.2684,10172017.0,2778459.7692,29883
1688256000000,2023-07-02,KMDUSDT,0.2454,0.2964,0.2425,0.264,22643300.0,6156850.6936,51921
1688169600000,2023-07-01,KMDUSDT,0.2466,0.2544,0.2394,0.2452,3554957.0,874579.8325,9090
1688083200000,2023-06-30,KMDUSDT,0.2292,0.2498,0.2264,0.2471,4032776.0,960371.4012,9200
1687996800000,2023-06-29,KMDUSDT,0.231,0.2348,0.2262,0.229,1250415.0,289145.6981,2933
1687910400000,2023-06-28,KMDUSDT,0.2475,0.2482,0.23,0.2315,1828073.0,434322.4851,6793
1687824000000,2023-06-27,KMDUSDT,0.2426,0.265,0.2401,0.2473,4647052.0,1173905.0806,14533
1687737600000,2023-06-26,KMDUSDT,0.2441,0.2495,0.2392,0.2421,1104634.0,269720.317,3380
1687651200000,2023-06-25,KMDUSDT,0.2482,0.2534,0.2415,0.2443,1103493.0,273841.282,3391
1687564800000,2023-06-24,KMDUSDT,0.2495,0.264,0.2411,0.2482,3807231.0,952612.0425,11329
1687478400000,2023-06-23,KMDUSDT,0.2404,0.25,0.2386,0.2491,2474038.0,603845.4781,8139
1687392000000,2023-06-22,KMDUSDT,0.2412,0.2487,0.2371,0.2412,1791551.0,436167.2763,5304
1687305600000,2023-06-21,KMDUSDT,0.2354,0.2475,0.2349,0.2417,2346552.0,566447.4777,5474
1687219200000,2023-06-20,KMDUSDT,0.2329,0.2377,0.2285,0.2354,1548283.0,361091.0694,3508
1687132800000,2023-06-19,KMDUSDT,0.229,0.2445,0.2273,0.2332,1757922.0,412265.1861,4876
1687046400000,2023-06-18,KMDUSDT,0.2311,0.2453,0.2282,0.2293,1974357.0,465791.1298,5832
1686960000000,2023-06-17,KMDUSDT,0.2326,0.2364,0.23,0.2311,1356836.0,316018.5817,3398
1686873600000,2023-06-16,KMDUSDT,0.2338,0.2352,0.2258,0.2326,1323969.0,305583.6913,3326
1686787200000,2023-06-15,KMDUSDT,0.2365,0.2424,0.2246,0.2338,1836624.0,426136.1898,4709
1686700800000,2023-06-14,KMDUSDT,0.2455,0.251,0.2331,0.2364,2245789.0,545003.4121,5608
1686614400000,2023-06-13,KMDUSDT,0.247,0.2602,0.2437,0.2456,3981332.0,996393.8285,10244
1686528000000,2023-06-12,KMDUSDT,0.2699,0.2737,0.245,0.2469,3970704.0,1025986.8057,8390
1686441600000,2023-06-11,KMDUSDT,0.2712,0.295,0.2567,0.2698,12684656.0,3511834.9806,36039
1686355200000,2023-06-10,KMDUSDT,0.2596,0.304,0.2315,0.2714,22293451.0,6188967.2157,51654
1686268800000,2023-06-09,KMDUSDT,0.2604,0.2748,0.2554,0.2593,1620168.0,428752.8335,5616
1686182400000,2023-06-08,KMDUSDT,0.2619,0.263,0.251,0.2606,895626.0,229738.8349,3818
1686096000000,2023-06-07,KMDUSDT,0.2652,0.275,0.2555,0.262,1994065.0,525579.4516,7047
1686009600000,2023-06-06,KMDUSDT,0.2477,0.2856,0.2425,0.2654,5418834.0,1449103.3499,16640
1685923200000,2023-06-05,KMDUSDT,0.2759,0.2777,0.2408,0.2481,1760890.0,452015.1573,9664
1685836800000,2023-06-04,KMDUSDT,0.2787,0.2844,0.2731,0.2765,892034.0,246761.7681,2442
