https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume BTCDOWN,Volume USDT,tradecount
1685836800000,2023-06-04,BTCDOWNUSDT,0.00873,0.008801,0.008511,0.008695,40447965.42,350649.23059407,5086
1685750400000,2023-06-03,BTCDOWNUSDT,0.008617,0.008825,0.008585,0.008728,45160963.25,392035.86814465,3762
1685664000000,2023-06-02,BTCDOWNUSDT,0.008886,0.009051,0.008601,0.008612,68060078.04,594979.61783553,7149
1685577600000,2023-06-01,BTCDOWNUSDT,0.008643,0.008974,0.008567,0.008893,72404009.0,638350.31315587,10728
1685491200000,2023-05-31,BTCDOWNUSDT,0.008356,0.008853,0.00829,0.008643,87977307.74,763736.10420379,15063
1685404800000,2023-05-30,BTCDOWNUSDT,0.008376,0.008443,0.008155,0.008349,61773401.33,512866.56176527,6902
1685318400000,2023-05-29,BTCDOWNUSDT,0.008161,0.008455,0.007962,0.008366,108368058.47,894115.32170477,15513
1685232000000,2023-05-28,BTCDOWNUSDT,0.008876,0.00893,0.008066,0.008161,104641332.93,891294.32068807,17017
1685145600000,2023-05-27,BTCDOWNUSDT,0.008971,0.009046,0.00886,0.008876,29903538.57,267949.64000119,3697
1685059200000,2023-05-26,BTCDOWNUSDT,0.009096,0.009203,0.008831,0.00897,51127941.74,460951.67844371,6447
1684972800000,2023-05-25,BTCDOWNUSDT,0.009168,0.00945,0.00902,0.009083,56496400.2,520045.20861532,6973
1684886400000,2023-05-24,BTCDOWNUSDT,0.008658,0.009316,0.008646,0.009167,89299139.64,806282.72527479,15506
1684800000000,2023-05-23,BTCDOWNUSDT,0.008859,0.008891,0.008506,0.008659,69322557.73,598953.02129447,8536
1684713600000,2023-05-22,BTCDOWNUSDT,0.008935,0.009077,0.008728,0.008866,59399703.92,527812.41964328,4981
1684627200000,2023-05-21,BTCDOWNUSDT,0.00872,0.008961,0.008625,0.008926,54934115.81,484180.65134837,4840
1684540800000,2023-05-20,BTCDOWNUSDT,0.008834,0.00888,0.008698,0.008721,39371765.25,346239.85458023,5579
1684454400000,2023-05-19,BTCDOWNUSDT,0.008875,0.008975,0.008681,0.008832,63317308.98,559877.3848217,8458
1684368000000,2023-05-18,BTCDOWNUSDT,0.00854,0.009147,0.00851,0.008875,112362418.1,983775.4016671,15277
1684281600000,2023-05-17,BTCDOWNUSDT,0.008743,0.009024,0.008501,0.00854,120464890.53,1056796.4296785,13786
1684195200000,2023-05-16,BTCDOWNUSDT,0.008689,0.008845,0.008603,0.008743,81183196.69,709489.07830606,9338
1684108800000,2023-05-15,BTCDOWNUSDT,0.008831,0.008924,0.00843,0.00869,102149943.44,878108.3510686,12342
1684022400000,2023-05-14,BTCDOWNUSDT,0.008893,0.008995,0.008646,0.008827,63333114.01,559344.37538551,7858
1683936000000,2023-05-13,BTCDOWNUSDT,0.008875,0.008943,0.00877,0.00889,68752533.36,609762.562468,8278
1683849600000,2023-05-12,BTCDOWNUSDT,0.008786,0.009428,0.00875,0.008875,167109270.41,1513921.44993528,24656
1683763200000,2023-05-11,BTCDOWNUSDT,0.008485,0.008963,0.008453,0.008785,115887426.91,1006061.91330991,12040
1683676800000,2023-05-10,BTCDOWNUSDT,0.008441,0.008915,0.008064,0.008482,162399868.17,1366082.35748887,17289
1683590400000,2023-05-09,BTCDOWNUSDT,0.008432,0.008592,0.008334,0.008436,105791623.2,895243.56486817,9239
1683504000000,2023-05-08,BTCDOWNUSDT,0.008077,0.008625,0.007974,0.008431,196806342.67,1637922.25850783,27748
1683417600000,2023-05-07,BTCDOWNUSDT,0.007855,0.008081,0.00772,0.008073,99299342.91,780185.49289347,7798
1683331200000,2023-05-06,BTCDOWNUSDT,0.00757,0.008091,0.00743,0.007854,165267967.57,1288860.74123544,21495
1683244800000,2023-05-05,BTCDOWNUSDT,0.007868,0.007898,0.00746,0.00757,172064410.67,1318129.37457919,16170
1683158400000,2023-05-04,BTCDOWNUSDT,0.007805,0.00795,0.0076,0.007872,140918602.71,1100479.28603579,13185
1683072000000,2023-05-03,BTCDOWNUSDT,0.007961,0.00822,0.00769,0.007804,184009099.37,1471926.10238027,16697
1682985600000,2023-05-02,BTCDOWNUSDT,0.008246,0.008331,0.007858,0.00796,157995254.7,1281162.65405989,14995
1682899200000,2023-05-01,BTCDOWNUSDT,0.007711,0.008415,0.007653,0.008225,206500849.17,1667775.63356251,28586
1682812800000,2023-04-30,BTCDOWNUSDT,0.007707,0.007779,0.007402,0.007716,151705785.23,1153287.25147447,16027
1682726400000,2023-04-29,BTCDOWNUSDT,0.007682,0.007801,0.00761,0.00771,86834485.58,667804.89413408,5615
1682640000000,2023-04-28,BTCDOWNUSDT,0.007612,0.007864,0.007539,0.007687,137119590.48,1053705.21227672,11247
1682553600000,2023-04-27,BTCDOWNUSDT,0.00808,0.008103,0.007426,0.007611,225156967.24,1739325.79703092,27983
1682467200000,2023-04-26,BTCDOWNUSDT,0.008851,0.008891,0.00737,0.008077,459854756.77,3684351.23154363,71263
1682380800000,2023-04-25,BTCDOWNUSDT,0.0096,0.009909,0.008751,0.008851,123792703.08,1160967.0596593,19150
1682294400000,2023-04-24,BTCDOWNUSDT,0.00952,0.010133,0.00912,0.009586,122294202.25,1178489.57676888,19374
1682208000000,2023-04-23,BTCDOWNUSDT,0.009293,0.009774,0.009293,0.00952,73577376.84,703382.38736837,12262
1682121600000,2023-04-22,BTCDOWNUSDT,0.009807,0.00995,0.0091,0.009295,125297010.92,1205167.94356625,24589
1682035200000,2023-04-21,BTCDOWNUSDT,0.008955,0.00994,0.008833,0.009804,194941185.99,1814708.39202913,34429
1681948800000,2023-04-20,BTCDOWNUSDT,0.008486,0.00918,0.008256,0.008954,206712525.23,1793930.14926852,33575
1681862400000,2023-04-19,BTCDOWNUSDT,0.007345,0.00866,0.007328,0.008473,264045949.8,2132155.85348425,43384
1681776000000,2023-04-18,BTCDOWNUSDT,0.008012,0.008262,0.007252,0.007337,214832047.35,1626475.46801396,29852
1681689600000,2023-04-17,BTCDOWNUSDT,0.007411,0.008145,0.00741,0.00802,182030809.81,1428664.21126739,27204
1681603200000,2023-04-16,BTCDOWNUSDT,0.007417,0.00753,0.007246,0.00741,81690368.33,604964.14723204,8066
1681516800000,2023-04-15,BTCDOWNUSDT,0.007308,0.007474,0.007211,0.007417,84894334.67,625356.97490481,6627
