https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume STMX,Volume BUSD,tradecount
1681516800000,2023-04-15,STMXBUSD,0.00612,0.006125,0.00599,0.006112,30229624.0,183478.035816,1379
1681430400000,2023-04-14,STMXBUSD,0.006059,0.006204,0.005948,0.006121,45994896.0,280144.348204,1934
1681344000000,2023-04-13,STMXBUSD,0.005959,0.00606,0.005844,0.006044,28707169.0,171551.436188,1740
1681257600000,2023-04-12,STMXBUSD,0.006006,0.006014,0.005791,0.005959,30397844.0,178829.198334,2688
1681171200000,2023-04-11,STMXBUSD,0.006072,0.006182,0.005951,0.00601,28283963.0,170960.311667,2118
1681084800000,2023-04-10,STMXBUSD,0.005939,0.006087,0.005771,0.006072,27416848.0,161263.979996,1623
1680998400000,2023-04-09,STMXBUSD,0.005992,0.005993,0.005801,0.00595,26444163.0,155899.58082,1497
1680912000000,2023-04-08,STMXBUSD,0.005963,0.006081,0.005909,0.005983,24599848.0,148035.104746,1237
1680825600000,2023-04-07,STMXBUSD,0.006124,0.006165,0.00584,0.005977,34297260.0,204165.888973,1502
1680739200000,2023-04-06,STMXBUSD,0.006282,0.0072,0.005955,0.006112,380204093.0,2499557.777808,15714
1680652800000,2023-04-05,STMXBUSD,0.005807,0.006329,0.005771,0.006277,92351493.0,563073.772571,4379
1680566400000,2023-04-04,STMXBUSD,0.005644,0.005856,0.005554,0.005797,32988074.0,188934.560866,1878
1680480000000,2023-04-03,STMXBUSD,0.005658,0.005724,0.005464,0.00564,39453230.0,220357.165122,2191
1680393600000,2023-04-02,STMXBUSD,0.0059,0.005955,0.005535,0.005677,27543463.0,157442.009535,1295
1680307200000,2023-04-01,STMXBUSD,0.005666,0.005963,0.005666,0.0059,88642974.0,517949.115251,3612
1680220800000,2023-03-31,STMXBUSD,0.005563,0.005692,0.005346,0.005663,97313323.0,532611.387112,2953
1680134400000,2023-03-30,STMXBUSD,0.005661,0.005759,0.005464,0.005565,44682961.0,249258.853098,2565
1680048000000,2023-03-29,STMXBUSD,0.005372,0.005727,0.005365,0.005677,27998649.0,156707.234598,1666
1679961600000,2023-03-28,STMXBUSD,0.005311,0.005406,0.00519,0.005365,33290144.0,175731.169152,1710
1679875200000,2023-03-27,STMXBUSD,0.005672,0.005719,0.005187,0.005312,36184059.0,193990.559193,1754
1679788800000,2023-03-26,STMXBUSD,0.00555,0.005709,0.005545,0.005684,20365482.0,114557.296685,1083
1679702400000,2023-03-25,STMXBUSD,0.00559,0.00567,0.005457,0.005547,41936679.0,233794.465452,1801
1679616000000,2023-03-24,STMXBUSD,0.00583,0.005835,0.005515,0.005589,36884750.0,209651.869632,2337
1679529600000,2023-03-23,STMXBUSD,0.005622,0.005883,0.005526,0.005825,103794053.0,590466.439707,4132
1679443200000,2023-03-22,STMXBUSD,0.006028,0.006028,0.005466,0.005619,192614536.0,1104039.912165,6657
1679356800000,2023-03-21,STMXBUSD,0.006022,0.006139,0.00572,0.006041,43727246.0,260669.891466,1705
1679270400000,2023-03-20,STMXBUSD,0.00624,0.00635,0.005922,0.005992,48132882.0,295050.330736,2657
1679184000000,2023-03-19,STMXBUSD,0.006092,0.006361,0.00606,0.006252,23902896.0,148359.758606,892
1679097600000,2023-03-18,STMXBUSD,0.006398,0.006417,0.006009,0.00609,36021689.0,223840.429778,1726
1679011200000,2023-03-17,STMXBUSD,0.005925,0.006399,0.005855,0.006386,39568319.0,240549.75904,1976
1678924800000,2023-03-16,STMXBUSD,0.005803,0.005958,0.005749,0.005925,29128841.0,170331.314284,1521
1678838400000,2023-03-15,STMXBUSD,0.006201,0.006409,0.005688,0.005822,83741572.0,507499.485016,3459
1678752000000,2023-03-14,STMXBUSD,0.00601,0.006413,0.00584,0.006187,84969607.0,520516.601499,3765
1678665600000,2023-03-13,STMXBUSD,0.005595,0.006146,0.005342,0.006011,70778556.0,408013.371784,3209
1678579200000,2023-03-12,STMXBUSD,0.005262,0.005592,0.005002,0.005592,45275020.0,236376.474917,1535
1678492800000,2023-03-11,STMXBUSD,0.005267,0.005459,0.00506,0.005272,45522689.0,238203.225681,1652
1678406400000,2023-03-10,STMXBUSD,0.005271,0.005288,0.004948,0.005255,57550613.0,296411.369278,2224
1678320000000,2023-03-09,STMXBUSD,0.005885,0.005885,0.005137,0.0053,67245570.0,372569.773283,2438
1678233600000,2023-03-08,STMXBUSD,0.006045,0.006283,0.005825,0.005876,86975177.0,528192.892127,2998
1678147200000,2023-03-07,STMXBUSD,0.006017,0.006477,0.005864,0.006051,143829856.0,883793.098749,5153
1678060800000,2023-03-06,STMXBUSD,0.006135,0.006149,0.005892,0.006015,26323339.0,157986.503506,1093
1677974400000,2023-03-05,STMXBUSD,0.006087,0.006382,0.006086,0.006144,47237045.0,294150.197011,1732
1677888000000,2023-03-04,STMXBUSD,0.006181,0.006262,0.005965,0.006095,26499852.0,162410.890941,912
1677801600000,2023-03-03,STMXBUSD,0.006754,0.006754,0.005999,0.006187,38897613.0,241519.617866,1564
1677715200000,2023-03-02,STMXBUSD,0.007013,0.007013,0.006615,0.00675,24294446.0,163768.144582,989
1677628800000,2023-03-01,STMXBUSD,0.006772,0.007035,0.006722,0.007016,24145949.0,167103.380576,967
1677542400000,2023-02-28,STMXBUSD,0.006967,0.006993,0.006692,0.006755,27578620.0,189263.444761,1340
1677456000000,2023-02-27,STMXBUSD,0.0072,0.007212,0.006803,0.006968,38644296.0,268985.527071,1893
1677369600000,2023-02-26,STMXBUSD,0.006766,0.00729,0.006747,0.0072,164240078.0,1162737.449242,5264
1677283200000,2023-02-25,STMXBUSD,0.006982,0.007013,0.006544,0.006762,56282242.0,380937.816213,2333
1677196800000,2023-02-24,STMXBUSD,0.006992,0.007181,0.006738,0.007004,77912100.0,546118.82224,3363
1677110400000,2023-02-23,STMXBUSD,0.007155,0.007162,0.006881,0.007032,47878263.0,336415.71707,2132
1677024000000,2023-02-22,STMXBUSD,0.007268,0.007295,0.0068,0.007148,119759696.0,839562.702696,5230
1676937600000,2023-02-21,STMXBUSD,0.007349,0.007659,0.006968,0.007266,236550282.0,1723965.797589,9880
1676851200000,2023-02-20,STMXBUSD,0.006994,0.007449,0.0068,0.007342,153570166.0,1108310.25743,5445
1676764800000,2023-02-19,STMXBUSD,0.00715,0.007191,0.006761,0.00699,98784636.0,688882.723192,3612
1676678400000,2023-02-18,STMXBUSD,0.007305,0.007305,0.007015,0.007151,48759111.0,348095.807695,2246
1676592000000,2023-02-17,STMXBUSD,0.007161,0.007383,0.007011,0.007315,91591618.0,661814.840137,4676
1676505600000,2023-02-16,STMXBUSD,0.007132,0.0082,0.007035,0.007152,901587572.0,6869591.652093,31811
1676419200000,2023-02-15,STMXBUSD,0.005984,0.007588,0.005926,0.007109,826423253.0,5829233.306576,27131
1676332800000,2023-02-14,STMXBUSD,0.005841,0.006012,0.005653,0.006,105582120.0,615162.727099,3882
1676246400000,2023-02-13,STMXBUSD,0.006094,0.006209,0.005621,0.005845,77420278.0,452341.818251,2968
1676160000000,2023-02-12,STMXBUSD,0.00612,0.006731,0.005986,0.006092,208436149.0,1313688.23036,6961
1676073600000,2023-02-11,STMXBUSD,0.005933,0.006159,0.005875,0.00612,74378921.0,446903.282826,2295
1675987200000,2023-02-10,STMXBUSD,0.005957,0.00604,0.005741,0.005919,143771095.0,845907.667096,4066
