https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume POLY,Volume BTC,tradecount
1654128000000,2022-06-02,POLYBTC,7.9e-06,9.36e-06,7.84e-06,8.5e-06,5585294.0,48.10218857,12000
1654041600000,2022-06-01,POLYBTC,7.6e-06,8.42e-06,7.49e-06,7.91e-06,2306950.0,18.45200399,4482
1653955200000,2022-05-31,POLYBTC,7.68e-06,7.71e-06,7.41e-06,7.6e-06,355105.0,2.68234289,869
1653868800000,2022-05-30,POLYBTC,7.62e-06,7.8e-06,7.47e-06,7.67e-06,548821.0,4.18989317,1101
1653782400000,2022-05-29,POLYBTC,7.63e-06,7.69e-06,7.4e-06,7.65e-06,216175.0,1.63642606,576
1653696000000,2022-05-28,POLYBTC,7.7e-06,7.99e-06,7.52e-06,7.66e-06,414070.0,3.16444909,748
1653609600000,2022-05-27,POLYBTC,7.86e-06,8.1e-06,7.51e-06,7.68e-06,1652048.0,12.94036236,2191
1653523200000,2022-05-26,POLYBTC,8.16e-06,8.18e-06,7.71e-06,7.85e-06,370096.0,2.93123624,1118
1653436800000,2022-05-25,POLYBTC,8.14e-06,8.15e-06,7.88e-06,8.15e-06,216286.0,1.72925591,571
1653350400000,2022-05-24,POLYBTC,8.35e-06,8.58e-06,7.73e-06,8.17e-06,836273.0,6.82033699,1622
1653264000000,2022-05-23,POLYBTC,8.6e-06,8.83e-06,8.11e-06,8.37e-06,690289.0,5.85451014,1728
1653177600000,2022-05-22,POLYBTC,8.29e-06,8.77e-06,8.23e-06,8.59e-06,845200.0,7.19189793,1998
1653091200000,2022-05-21,POLYBTC,8.24e-06,8.4e-06,7.98e-06,8.3e-06,220678.0,1.80888675,672
1653004800000,2022-05-20,POLYBTC,8.35e-06,8.36e-06,7.95e-06,8.25e-06,349447.0,2.84348338,1031
1652918400000,2022-05-19,POLYBTC,8.54e-06,8.76e-06,7.7e-06,8.38e-06,1102278.0,8.97772908,2973
1652832000000,2022-05-18,POLYBTC,7.71e-06,8.56e-06,7.67e-06,8.5e-06,1424558.0,11.48958398,3722
1652745600000,2022-05-17,POLYBTC,7.49e-06,7.98e-06,7.15e-06,7.68e-06,1335473.0,10.07133306,3427
1652659200000,2022-05-16,POLYBTC,7.13e-06,8.24e-06,6.88e-06,7.49e-06,2476514.0,18.76589646,6115
1652572800000,2022-05-15,POLYBTC,7.1e-06,7.2e-06,6.76e-06,7.15e-06,367409.0,2.56632359,1022
1652486400000,2022-05-14,POLYBTC,6.56e-06,7.74e-06,6.53e-06,7.12e-06,2303292.0,16.04817531,4299
1652400000000,2022-05-13,POLYBTC,5.69e-06,6.65e-06,5.64e-06,6.54e-06,828778.0,5.20568042,1839
1652313600000,2022-05-12,POLYBTC,6.53e-06,6.53e-06,5.41e-06,5.75e-06,1952261.0,11.33090729,2960
1652227200000,2022-05-11,POLYBTC,8.41e-06,8.65e-06,6.1e-06,6.53e-06,2294111.0,16.41495774,4562
1652140800000,2022-05-10,POLYBTC,8.39e-06,8.84e-06,7.78e-06,8.38e-06,1342759.0,11.3019707,2850
1652054400000,2022-05-09,POLYBTC,8.86e-06,8.9e-06,8.18e-06,8.36e-06,985404.0,8.35277577,2171
1651968000000,2022-05-08,POLYBTC,8.84e-06,8.98e-06,8.64e-06,8.88e-06,441404.0,3.87684722,1094
