https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume LINA,Volume USDT,tradecount
1684368000000,2023-05-18,LINAUSDT,0.010614,0.011187,0.010274,0.010495,1130843209.55,12196600.59346505,62085
1684281600000,2023-05-17,LINAUSDT,0.010258,0.010823,0.009968,0.010609,1284200201.11,13386780.66739664,64556
1684195200000,2023-05-16,LINAUSDT,0.009727,0.0107,0.0095,0.010254,1256156137.92,12813128.3465995,67369
1684108800000,2023-05-15,LINAUSDT,0.009711,0.009984,0.00934,0.009728,384973481.98,3744171.3934492,23452
1684022400000,2023-05-14,LINAUSDT,0.009525,0.010067,0.009295,0.009711,361902279.43,3490808.1611867,23607
1683936000000,2023-05-13,LINAUSDT,0.009701,0.009785,0.00936,0.009525,390254414.76,3714940.07417826,26276
1683849600000,2023-05-12,LINAUSDT,0.009411,0.009787,0.008907,0.009701,654902778.74,6092059.21432424,37694
1683763200000,2023-05-11,LINAUSDT,0.010388,0.0104,0.009031,0.009407,807365581.74,7719862.11131491,44386
1683676800000,2023-05-10,LINAUSDT,0.009976,0.010504,0.009362,0.010383,1131685797.74,11366088.24466204,59882
1683590400000,2023-05-09,LINAUSDT,0.010001,0.010188,0.0097,0.009973,526775794.38,5243467.73396253,33728
1683504000000,2023-05-08,LINAUSDT,0.011215,0.0114,0.009709,0.010008,1000391380.3,10477356.21221365,61425
1683417600000,2023-05-07,LINAUSDT,0.011309,0.011796,0.011168,0.011215,471950818.77,5372060.07586515,27905
1683331200000,2023-05-06,LINAUSDT,0.012076,0.012302,0.011274,0.011303,688063051.3,8049857.91642037,42552
1683244800000,2023-05-05,LINAUSDT,0.012109,0.012413,0.011589,0.012076,1016055791.67,12173645.21502001,57435
1683158400000,2023-05-04,LINAUSDT,0.012543,0.01321,0.011965,0.012102,1607640717.51,20413397.09283836,97658
1683072000000,2023-05-03,LINAUSDT,0.011477,0.01298,0.011008,0.012548,1391871850.85,16510322.46629254,78794
1682985600000,2023-05-02,LINAUSDT,0.011728,0.011742,0.0113,0.011478,596168097.22,6848900.73684423,31914
1682899200000,2023-05-01,LINAUSDT,0.012273,0.012377,0.011501,0.011729,896311519.55,10694600.50596191,46948
1682812800000,2023-04-30,LINAUSDT,0.013649,0.013705,0.012226,0.012269,1206208183.39,15634389.82214556,60830
1682726400000,2023-04-29,LINAUSDT,0.012672,0.01484,0.012532,0.013646,2546058786.98,34984652.37952137,133763
1682640000000,2023-04-28,LINAUSDT,0.012336,0.012866,0.011754,0.012679,791862775.73,9727931.26691581,42234
1682553600000,2023-04-27,LINAUSDT,0.011842,0.012727,0.011768,0.01234,694637754.94,8529676.98992607,41256
1682467200000,2023-04-26,LINAUSDT,0.012155,0.012857,0.011084,0.011848,1492059923.81,18186904.5566235,70156
1682380800000,2023-04-25,LINAUSDT,0.011338,0.012242,0.010816,0.012154,612430224.48,6994006.62875868,30635
1682294400000,2023-04-24,LINAUSDT,0.011643,0.011905,0.011048,0.011344,467467322.11,5356273.27974509,26106
1682208000000,2023-04-23,LINAUSDT,0.011919,0.011919,0.011038,0.011644,364210548.18,4198356.3344079,20274
1682121600000,2023-04-22,LINAUSDT,0.011445,0.012021,0.011178,0.011917,341676475.1,3976912.77773067,20485
1682035200000,2023-04-21,LINAUSDT,0.01236,0.012621,0.01093,0.011447,646708577.31,7688097.85512567,33758
1681948800000,2023-04-20,LINAUSDT,0.012923,0.01308,0.012,0.012373,606859890.61,7635275.95861863,33970
1681862400000,2023-04-19,LINAUSDT,0.01472,0.014744,0.012641,0.012932,789292130.18,10591203.04135549,48502
1681776000000,2023-04-18,LINAUSDT,0.014998,0.015656,0.014403,0.01472,996769237.31,14894877.17442589,53741
1681689600000,2023-04-17,LINAUSDT,0.014597,0.015286,0.01363,0.015005,868686526.41,12487716.62942622,45576
1681603200000,2023-04-16,LINAUSDT,0.014396,0.014778,0.014031,0.014603,617474396.37,8880960.36884632,32260
1681516800000,2023-04-15,LINAUSDT,0.014641,0.014893,0.01415,0.014396,567898766.0,8207868.17088204,32574
1681430400000,2023-04-14,LINAUSDT,0.014383,0.016049,0.013874,0.014648,1524378881.24,22624895.5251016,93679
1681344000000,2023-04-13,LINAUSDT,0.013848,0.014533,0.013557,0.014389,882764776.61,12266593.01522641,47188
1681257600000,2023-04-12,LINAUSDT,0.013889,0.014634,0.01335,0.013833,1475364114.12,20649336.83493213,81533
1681171200000,2023-04-11,LINAUSDT,0.015257,0.015364,0.013786,0.013881,1208968643.65,17353749.78492252,69270
1681084800000,2023-04-10,LINAUSDT,0.014364,0.016279,0.013374,0.01525,2290358160.37,33647091.40363258,138161
1680998400000,2023-04-09,LINAUSDT,0.014841,0.014857,0.0136,0.014358,1528102196.38,21620640.92367112,87818
1680912000000,2023-04-08,LINAUSDT,0.016488,0.016608,0.014568,0.01485,1443038790.23,22197734.50589258,88794
